Date,Description,Headline,Link,Section
1 day ago,"Scams in the Channel Islands have an ""increasing level of sophistication"", a watchdog says.","Rise in fraud and scam complaints, report says",https://www.bbc.com//news/articles/c3gg7dwlz3xo, UK
2 hrs ago,Diane Rwigara says she feels cheated for a second time from being able to campaign.,Kagame critic barred from Rwanda's presidential race,https://www.bbc.com//news/articles/cw007n5pn4wo, Africa
4 hrs ago,"It would reflect the will of voters and help move the country forward, President Ramaphosa says. 
",Unity government is S Africa's best option - Ramaphosa,https://www.bbc.com//news/articles/clddkkyk3x2o, Africa
13 hrs ago,A selection of the week's best photos from across the African continent.,'Lion' pouts and baptisms: Africa's top shots,https://www.bbc.com//news/articles/c8441wy2y77o, Africa
20 hrs ago,It is hailed as a significant step for the country after years of civil war.,Giant step for Somalia with UN Security Council seat,https://www.bbc.com//news/articles/cgee4j71ypqo, Africa
20 hrs ago,Social media footage shows dozens of bodies wrapped in shrouds prepared for burial in Gezira state.,At least 150 villagers feared dead in Sudan massacre,https://www.bbc.com//news/articles/cw99plg01neo, Africa
1 day ago,"The divers helping restore Zanzibar's coral reefs damaged by climate change, fishing and tourism. ",Zanzibar's ingenious solution to protect its coral,https://www.bbc.com//news/videos/ckvv3p2xlkpo, Africa
2 days ago,Jahmby Koikai spent most of her 38 years campaigning for better health care for women and girls.,Endometriosis tormented her every month - and killed her aged 38,https://www.bbc.com//news/articles/c722dzn07rlo, Africa
2 days ago,The ANC says it has reached out to all parties but negotiations are still underway.,ANC eyes national unity government  after election loss,https://www.bbc.com//news/articles/c9001dkzxeno, Africa
2 days ago,"Around 30 people are feared trapped after heavy rains, a local official tells the BBC.",Dozens of gold miners trapped in Nigeria,https://www.bbc.com//news/articles/c3ggrrgg4rlo, Africa
6 hrs ago,"The departure of two more British judges raises concerns about Hong Kong's legal system, critics say.",Why two UK judges cut ties with Hong Kong's courts,https://www.bbc.com//news/articles/c722094n135o, Asia
7 hrs ago,This will make him only the second Indian to hold the post for three consecutive terms.,Modi to be sworn in as India's PM on Sunday,https://www.bbc.com//news/articles/c999v798e91o, Asia
8 hrs ago,Rahul Gandhi has demanded an investigation into a stock market crash that hit investors on 4 June.,India opposition accuses Modi of 'stock market scam',https://www.bbc.com//news/articles/cekkddndldeo, Asia
11 hrs ago,"Jensen Huang is at the forefront of an AI boom, which coincides with Nvidia's rise as a leading chip firm.",Why is Nvidia boss the 'Taylor Swift of tech'?,https://www.bbc.com//news/articles/cq55ek28z98o, Asia
18 hrs ago,The BBC hears allegations of rape and torture by Myanmar's military in Chin State.,"'My 17-year-old was brutally killed, but I'm glad she fought for freedom'",https://www.bbc.com//news/articles/cydd87gen62o, Asia
21 hrs ago,Four corpses and one skeleton were also removed from Everest and other peaks during an annual clean-up.,Eleven tonnes of rubbish taken off Himalayan peaks,https://www.bbc.com//news/articles/cq5539lj1pqo, Asia
1 day ago,A hiker posted a  video showing the water flow of the fall was coming from a pipe built into the rock face.,Hiker finds pipe feeding China's tallest waterfall,https://www.bbc.com//news/articles/cp99l9gpzwgo, Asia
